code,min_peak_air,max_indoor_day,requires_conditions,requires_med_classes,requires_self_report,supersedes,min_tier,advice_caregiver,advice_person,watch_for,escalate_to,ordering
heat_sensitive_storage,25,,,heat_sensitive,,,low,"Insulin and GTN spray degrade above 25 degrees. Before the heat builds, move them somewhere cool and dark — not a windowsill, not a car, not a bathroom. Ask the pharmacist whether a supply that has been warm is still usable.","Your insulin or spray needs to stay cool. Move it somewhere dark and cool now, away from windows. If it has been warm already, ask your pharmacist whether it is still alright to use.",Insulin that looks cloudy or grainy when it should be clear.,pharmacist,5
lithium_dehydration,22,,,lithium,,med_lithium,elevated,"Dehydration concentrates lithium in the blood and the safe range is narrow, so this needs settling before the hot days rather than during them. Speak to the pharmacist or GP today about fluids. Keep it exactly as prescribed.",Hot weather can affect how your lithium works if you get dry. Please ring your pharmacist or GP today and ask how much you should be drinking. Keep taking it exactly as prescribed.,"Tremor, unsteadiness, being sick, or unusual drowsiness.",gp,10
diuretic_and_renal,22,,renal,diuretic,,med_diuretic;renal,elevated,"A water tablet and reduced kidney function together leave very little margin once fluid starts being lost. Ask the GP today how much they should be drinking — for this combination the right amount is specific to them, not a general figure. Keep it exactly as prescribed.","Your water tablet and your kidneys together mean the right amount to drink is particular to you, not the general advice. Please ask your GP today what your amount is. Keep taking it exactly as prescribed.","Passing much less water than usual, or dark urine.",gp,15
diuretic_and_ace,22,,,diuretic;ace_arb,,med_diuretic;med_ace_arb,elevated,"One of these increases fluid loss and the other blunts thirst, so they can become dry without ever feeling thirsty. Set up a drinking routine before the heat arrives rather than waiting to be asked. Ask the pharmacist about fluids. Keep both exactly as prescribed.",Your medicines together mean you may not feel thirsty even when you need a drink. Try a drink at set times today rather than waiting until you want one. Keep taking them exactly as prescribed.,"Confusion or unusual tiredness, which can be the first sign of dehydration in older people.",pharmacist,20
anticholinergic_absent_sweating,22,,,anticholinergic,,med_anticholinergic,elevated,"This medicine reduces sweating, so the body's main way of shedding heat is impaired. Cool the room in advance rather than relying on them to cool themselves — a damp cloth on the neck and wrists helps. Keep it exactly as prescribed.","Your medicine can make it harder for you to sweat, so you may get hot without noticing. Keep the room cool today and put a damp flannel on your neck or wrists if you feel warm. Keep taking it exactly as prescribed.","Hot, dry skin. Sweating is the usual first warning of overheating, and this medicine removes it — so its absence is not reassurance.",pharmacist,25
antipsychotic_thermoregulation,22,,,antipsychotic,,med_antipsychotic,elevated,"This medicine affects the brain's temperature control, so their body may not respond to heat the way yours does. Check the room temperature yourself rather than asking whether they feel hot. Keep it exactly as prescribed.",Your medicine can make it harder for your body to tell how hot it is. Keep to the coolest room today rather than going by how you feel. Keep taking it exactly as prescribed.,"Confusion, agitation, or a change in how they are behaving.",pharmacist,30
ssri_hyponatraemia,22,,,ssri,,med_ssri,elevated,This class can lower blood sodium and heavy sweating lowers it further. Ask the pharmacist before the hot spell whether anything should go with their fluids. Keep it exactly as prescribed.,Hot weather and your medicine can both lower the salt in your blood. Ask your pharmacist whether you should have anything alongside your drinks. Keep taking it exactly as prescribed.,"Confusion, headache, unsteadiness, or muscle cramps.",pharmacist,35
beta_blocker_exertion,22,,,beta_blocker,,med_beta_blocker,elevated,"This medicine slows the heart's response and reduces blood flow to the skin, so they may not feel how hard their body is working. Plan a quiet day and cool the room early. Keep it exactly as prescribed.","Your medicine means you may not feel your body working hard in the heat. Take today gently, even if you feel fine. Keep taking it exactly as prescribed.","Breathlessness or dizziness on standing, rather than the racing heart you would normally expect.",pharmacist,40
dementia_cannot_self_report,22,,dementia,,,dementia,elevated,"Check the room temperature and their drinks yourself rather than asking. Someone with dementia may not recognise that they are too hot, and may not think to remove a layer or ask for water. Lay out lighter clothing before the warm part of the day.",,"A change from how they usually are — more withdrawn, more agitated, or unusually sleepy. That change is the signal, not what they say.",,45
cardiovascular_heat_load,22,,cardiovascular,,,cardiovascular,elevated,"Heat makes the heart work harder while lowering blood pressure. Plan the day so the hottest hours are spent sitting quietly, with fluids already within reach.","Heat makes your heart work harder. Plan to sit quietly through the middle of the day, and have your drink beside you before you settle.","Chest discomfort, breathlessness, or swelling in the ankles.",gp,50
respiratory_and_cardiovascular,22,,respiratory;cardiovascular,,,respiratory;cardiovascular,elevated,"Hot air is harder to breathe, and working harder to breathe makes the heart work harder still — each condition worsens the other rather than simply adding to it. Keep them still, keep the room shaded and ventilated, and treat any new breathlessness as urgent rather than expected.","Your chest and your heart make each other work harder in the heat. Stay somewhere shaded and still today, and keep your inhaler where you can reach it. If you get short of breath while sitting still, ring 999.","Breathlessness at rest, or breathlessness that comes with chest discomfort. Together those are a 999 call, not a wait-and-see.",gp,52
renal_and_cardiovascular,22,,renal;cardiovascular,,,renal;cardiovascular,elevated,"Fluid is a tightrope for this combination and the usual hot-weather advice does not apply: too little strains the kidneys, too much strains the heart. Do not follow a general figure — ask the GP today what is right for them, and write it down where you will both see it.","The usual advice to drink plenty in hot weather is not right for everyone, and with your kidneys and your heart the amount matters both ways. Please ask your GP today what is right for you, and keep the number written down.","Swollen ankles or breathlessness lying flat, which point the opposite way to thirst and dark urine. Report whichever you see rather than acting on one.",gp,53
respiratory_heat,25,,respiratory,,,respiratory,elevated,"Hot, still air is harder to breathe and often carries worse air quality. Shade and ventilate the room before the peak, and keep their inhaler within reach.","Hot, still air can make breathing harder. Keep the curtains closed on the sunny side and a window open on the shaded side, and keep your inhaler beside you.","Wheezing, or needing the reliever inhaler more often than usual.",gp,55
mobility_cannot_self_rescue,22,,,,,mobility_limited,elevated,"They cannot move themselves to a cooler room, so the cool room has to come to them. Before you leave, put drinks, a fan control and a phone within arm's reach.","If it gets too warm and you cannot move easily, use your phone to ring someone rather than waiting it out. Keep it beside you.",Finding drinks untouched between visits.,,60
cardiovascular_cold,,16,cardiovascular,,,cardiovascular,elevated,"Cold raises blood pressure and thickens the blood, which adds strain on the heart. Warm one room properly and keep them in it rather than heating the whole home.","Cold weather puts extra strain on your heart. Warm one room well and stay in it, rather than trying to heat the whole house.","Chest discomfort, especially on going into a colder room.",gp,65
respiratory_and_cardiovascular_cold,,16,respiratory;cardiovascular,,,respiratory;cardiovascular,elevated,"Cold air tightens the airways while cold itself raises blood pressure, so both conditions are pushed at once. Warm one room properly and keep them in it, and have them cover mouth and nose with a scarf before going into a colder room.","Cold air tightens your chest and raises your blood pressure at the same time. Stay in one warm room, and put a scarf over your mouth and nose before you go anywhere colder.",Wheeze together with chest discomfort.,gp,66
not_drinking_reported,22,,,,drinking_fluids:no,,elevated,They told us they have not had a drink recently. Offer one now and stay while they take it — an offer left on the side is not a drink taken.,You mentioned you had not had a drink recently. Please have one now while you are thinking of it.,Whether the glass is emptier when you next look.,,70
bedroom_hot_reported,,,,,bedroom_feels_hot:yes,,elevated,"They told us the bedroom feels too hot. Take that over any estimate: move the bed to the coolest room tonight, or open the window on the shaded side once the sun is off it.","You said your bedroom feels too hot. Once the sun is off that side of the house, open the window — and if there is a cooler room, it is worth sleeping there tonight.","How they sleep tonight, and whether they are still warm to the touch in the morning.",,75
