dwelling_type,floor,aspect,offset
flat,top,south,2.8
flat,top,west,2.6
flat,top,east,2.4
flat,top,north,2.2
flat,middle,south,1.8
flat,middle,west,1.6
flat,middle,east,1.4
flat,middle,north,1.2
flat,ground,south,1.2
flat,ground,west,1.0
flat,ground,east,0.8
flat,ground,north,0.6
house,ground,south,1.1
house,ground,west,0.9
house,ground,east,0.7
house,ground,north,0.5
bungalow,ground,south,1.1
bungalow,ground,west,0.9
bungalow,ground,east,0.7
bungalow,ground,north,0.5
care_home,ground,south,1.2
care_home,ground,west,1.0
care_home,ground,east,0.8
care_home,ground,north,0.6
